ds,sls
4-Sep-2016,4961202.01
5-Sep-2016,4383597.83
6-Sep-2016,4125169.41
7-Sep-2016,3973442.57
8-Sep-2016,3994487.64
9-Sep-2016,4522895.77
10-Sep-2016,4742968.03
11-Sep-2016,3454176.65
12-Sep-2016,3340652.04
13-Sep-2016,3544561.57
14-Sep-2016,5114870.36
15-Sep-2016,4763575.55
16-Sep-2016,6487124.86
17-Sep-2016,6732300.27
18-Sep-2016,4178879.16
19-Sep-2016,3673714.47
20-Sep-2016,3876198.24
21-Sep-2016,4068606.41
22-Sep-2016,4243542.56
23-Sep-2016,5151144.38
24-Sep-2016,5294373.68
25-Sep-2016,4067864.12
26-Sep-2016,3594875.39
27-Sep-2016,4026625.54
28-Sep-2016,4406105.56
29-Sep-2016,4955001.12
30-Sep-2016,5648692.52
1-Oct-2016,5795228.31
2-Oct-2016,4377233.45
3-Oct-2016,3814631.19
4-Oct-2016,4172081.56
5-Oct-2016,4523813.10
6-Oct-2016,4186778.05
7-Oct-2016,4600565.82
8-Oct-2016,4385300.05
9-Oct-2016,3153233.02
10-Oct-2016,2996021.98
11-Oct-2016,3483447.73
12-Oct-2016,6180487.88
13-Oct-2016,6128645.64
14-Oct-2016,6574828.30
15-Oct-2016,7124829.71
16-Oct-2016,5566812.78
17-Oct-2016,4878199.22
18-Oct-2016,5878429.04
19-Oct-2016,3670710.81
20-Oct-2016,3702848.37
21-Oct-2016,5016234.48
22-Oct-2016,4941181.18
23-Oct-2016,3902408.58
24-Oct-2016,3260490.81
25-Oct-2016,3644377.75
26-Oct-2016,3750135.58
27-Oct-2016,4396743.57
28-Oct-2016,5582306.53
29-Oct-2016,5917479.68
30-Oct-2016,4698711.65
31-Oct-2016,3795897.33
1-Nov-2016,4127124.64
2-Nov-2016,4572954.01
3-Nov-2016,4445413.68
4-Nov-2016,5430797.87
5-Nov-2016,5315654.70
6-Nov-2016,3922670.86
7-Nov-2016,3337087.48
8-Nov-2016,3368291.79
9-Nov-2016,5524420.07
10-Nov-2016,6121143.71
11-Nov-2016,7059743.67
12-Nov-2016,7053266.03
13-Nov-2016,5427040.54
14-Nov-2016,5107409.94
15-Nov-2016,6034909.21
16-Nov-2016,5419325.23
17-Nov-2016,4915141.98
18-Nov-2016,6434026.93
19-Nov-2016,6296257.74
20-Nov-2016,5013362.96
21-Nov-2016,4802250.89
22-Nov-2016,5594951.45
23-Nov-2016,6747492.44
24-Nov-2016,1620228.23
26-Nov-2016,11097594.80
27-Nov-2016,8679305.66
28-Nov-2016,4279982.07
29-Nov-2016,4704262.54
30-Nov-2016,5018995.14
1-Dec-2016,5004814.99
2-Dec-2016,10260131.55
3-Dec-2016,10551235.48
4-Dec-2016,9396759.29
5-Dec-2016,4987970.35
6-Dec-2016,5326914.48
7-Dec-2016,5602165.71
8-Dec-2016,5800648.66
9-Dec-2016,6724454.86
10-Dec-2016,7740824.89
