ds,holiday,lower_window,upper_window
1/27/2016,scratch,0,7
3/16/2016,scratch,0,7
3/27/2016,holiday,-2,2
4/1/2016,scratch,0,7
6/17/2016,scratch,0,7
7/4/2016,holiday,-2,2
7/15/2016,scratch,0,7
8/12/2016,scratch,0,7
10/14/2016,scratch,0,7
11/9/2016,scratch,0,7
11/24/2016,holiday,-2,2
12/2/2016,scratch,0,7
12/14/2016,scratch,0,7
12/25/2016,holiday,-2,2
1/1/2017,holiday,-2,2
