,ds,yhat
0,2016-01-31,6.709540384667069
1,2016-02-01,6.594461341340646
2,2016-02-02,6.662422013921224
3,2016-02-03,6.63047513461933
4,2016-02-04,6.651611973493243
5,2016-02-05,6.731516126915547
6,2016-02-06,6.745552642532677
7,2016-02-07,6.636423485468044
8,2016-02-08,6.583761103799972
9,2016-02-09,6.610168896324993
10,2016-02-10,6.672669619631527
11,2016-02-11,6.658040118485329
12,2016-02-12,6.734630879563737
13,2016-02-13,6.745608430057537
14,2016-02-14,6.633731229050366
15,2016-02-15,6.578676403942634
16,2016-02-16,6.603079635466009
17,2016-02-17,6.663983328813452
18,2016-02-18,6.64817145234073
19,2016-02-19,6.724045447527045
20,2016-02-20,6.734699634070075
21,2016-02-21,6.622865883565934
22,2016-02-22,6.568185724013503
23,2016-02-23,6.593251713831758
24,2016-02-24,6.655057260674425
25,2016-02-25,6.640333216186328
26,2016-02-26,6.7173696826018015
27,2016-02-27,6.7292609792321665
28,2016-02-28,6.618684336111809
29,2016-02-29,6.565229581620878
30,2016-03-01,6.591442039804321
31,2016-03-02,6.654273687218748
32,2016-03-03,6.640420865650229
33,2016-03-04,6.718146958791472
34,2016-03-05,6.730527960795353
35,2016-03-06,6.6202314920094345
36,2016-03-07,6.566846525120322
37,2016-03-08,6.5929260422347395
38,2016-03-09,6.6557967663943325
39,2016-03-10,6.641818880797387
40,2016-03-11,6.719284978675396
41,2016-03-12,6.731305398044981
42,2016-03-13,6.620585938922218
43,2016-03-14,6.56675618794274
44,2016-03-15,6.592410715889306
45,2016-03-16,6.785564192872317
46,2016-03-17,6.7592961152317415
47,2016-03-18,6.839111094469834
48,2016-03-19,6.816865272384462
49,2016-03-20,6.7116500709794895
50,2016-03-21,6.5919200374185065
51,2016-03-22,6.655801489400233
52,2016-03-23,6.620428973477612
53,2016-03-24,6.638857068601543
54,2016-03-25,6.771702181594731
55,2016-03-26,6.750351901207128
56,2016-03-27,6.3740187142288685
57,2016-03-28,6.561470112410355
58,2016-03-29,6.586563375078521
59,2016-03-30,6.660789224189745
60,2016-03-31,6.648860469599518
61,2016-04-01,6.859703608873761
62,2016-04-02,6.862717677804127
63,2016-04-03,6.757741100911626
64,2016-04-04,6.673064494017098
65,2016-04-05,6.707580547281194
66,2016-04-06,6.707035469408683
67,2016-04-07,6.733634710463475
68,2016-04-08,6.715753261705109
69,2016-04-09,6.762757622299384
70,2016-04-10,6.6547171916054095
71,2016-04-11,6.603479154826289
72,2016-04-12,6.631589473020285
73,2016-04-13,6.696009469601385
74,2016-04-14,6.683511774504641
75,2016-04-15,6.762325305836506
76,2016-04-16,6.775556561095476
77,2016-04-17,6.665908490050338
78,2016-04-18,6.613008906368872
79,2016-04-19,6.639451765240788
80,2016-04-20,6.702246409328337
81,2016-04-21,6.688153139746216
82,2016-04-22,6.765503586564341
83,2016-04-23,6.777443877273783
84,2016-04-24,6.666711231093052
85,2016-04-25,6.612961314871918
86,2016-04-26,6.638808651517246
87,2016-04-27,6.701275209948416
88,2016-04-28,6.687125553726126
89,2016-04-29,6.764687036463549
90,2016-04-30,6.777093048819472
91,2016-05-01,6.667059943867247
92,2016-05-02,6.614214968074658
93,2016-05-03,6.640847077154493
94,2016-05-04,6.704227723093453
95,2016-05-05,6.691076001372376
96,2016-05-06,6.769670572166289
97,2016-05-07,6.78309434235484
98,2016-05-08,6.674012889684972
99,2016-05-09,6.622003912898351
100,2016-05-10,6.649599938839808
101,2016-05-11,6.713739349408976
102,2016-05-12,6.701104035021384
103,2016-05-13,6.779942089915484
104,2016-05-14,6.79331348114052
105,2016-05-15,6.6838692469797705
106,2016-05-16,6.631181484992112
107,2016-05-17,6.657786343761565
108,2016-05-18,6.720635071490878
109,2016-05-19,6.706431425871665
110,2016-05-20,6.7834538659203165
111,2016-05-21,6.794840751246326
112,2016-05-22,6.683247720167708
113,2016-05-23,6.6282973417271425
114,2016-05-24,6.652580479476438
115,2016-05-25,6.713105861512196
116,2016-05-26,6.6966359213221605
117,2016-05-27,6.771507373802214
118,2016-05-28,6.780874516200936
119,2016-05-29,6.667485874953555
120,2016-05-30,6.611011529250675
121,2016-05-31,6.63408339955478
122,2016-06-01,6.693743629700746
123,2016-06-02,6.676779441768285
124,2016-06-03,6.751542956304556
125,2016-06-04,6.761193989533718
126,2016-06-05,6.648476463421664
127,2016-06-06,6.593045766973902
128,2016-06-07,6.617509356908126
129,2016-06-08,6.678875718682433
130,2016-06-09,6.66388896869932
131,2016-06-10,6.740852984925956
132,2016-06-11,6.752872215933702
133,2016-06-12,6.642630603652319
134,2016-06-13,6.5897205030838695
135,2016-06-14,6.616684928433848
136,2016-06-15,6.680468202268154
137,2016-06-16,6.667753326325358
138,2016-06-17,6.877790435014059
139,2016-06-18,6.879951602067749
140,2016-06-19,6.774050031187867
141,2016-06-20,6.688353453935955
142,2016-06-21,6.721734525186193
143,2016-06-22,6.719922687620541
144,2016-06-23,6.745110216475086
145,2016-06-24,6.725662739744407
146,2016-06-25,6.770941323483143
147,2016-06-26,6.661013883550655
148,2016-06-27,6.607611250699494
149,2016-06-28,6.633404238658617
150,2016-06-29,6.695363755055006
151,2016-06-30,6.680216258068336
152,2016-07-01,6.7562651780688885
153,2016-07-02,6.821523981830965
154,2016-07-03,6.67471424446216
155,2016-07-04,6.351743132479018
156,2016-07-05,6.61462635408994
157,2016-07-06,6.671684179146475
158,2016-07-07,6.664219101882808
159,2016-07-08,6.738587900969285
160,2016-07-09,6.74760838668625
161,2016-07-10,6.63404047487785
162,2016-07-11,6.577561627786422
