,ds,t,trend,seasonal_lower,seasonal_upper,trend_lower,trend_upper,yhat_lower,yhat_upper,holiday,holiday_lower,holiday_upper,scratch,scratch_lower,scratch_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,seasonal,yhat
235,2016-09-22,0.40869565217391307,6.662078925868081,-0.0687774166683166,0.042244268445801356,6.608076793260638,6.709593356372727,6.568290662474637,6.73314461488674,0.0,0.0,0.0,0.0,0.0,0.0,-0.005316020281580115,-0.014348843824345505,0.003638677133256055,-0.010082502436191193,-0.06454789332214281,0.048231192468367885,-0.015398522717771309,6.6466804031503095
236,2016-09-23,0.41043478260869565,6.661828239252677,0.008626115838522602,0.11569871297602062,6.606168236083128,6.709479941732506,6.638083851607473,6.797646529895,0.0,0.0,0.0,0.0,0.0,0.0,0.07211757569344407,0.06406464218389768,0.08003422296913058,-0.010153262036489457,-0.06371785642648407,0.046726564425424985,0.06196431365695461,6.723792552909631
237,2016-09-24,0.4121739130434783,6.661577552637274,0.01924683489050034,0.12880895662051234,6.605511301904044,6.709596884973951,6.655276196616078,6.809629570648692,0.0,0.0,0.0,0.0,0.0,0.0,0.08422988706969302,0.0758230082812145,0.09289783288271398,-0.010283479367155702,-0.06368192926927861,0.04529155595592583,0.07394640770253731,6.735523960339811
238,2016-09-25,0.41391304347826086,6.661326866021871,-0.08987774448315101,0.020540716887253587,6.604756234536657,6.710482937130565,6.548006510446874,6.701699767413156,0.0,0.0,0.0,0.0,0.0,0.0,-0.02628257225166067,-0.033956556095499614,-0.018918830448915312,-0.01047956577169385,-0.0638584744131187,0.04402186249736018,-0.03676213802335452,6.624564727998516
239,2016-09-26,0.4156521739130435,6.661076179406467,-0.14506527279625195,-0.03621797730278648,6.604676664249436,6.7114335326335155,6.492632948989536,6.6453853157757585,0.0,0.0,0.0,0.0,0.0,0.0,-0.07980550253549121,-0.0883885569286287,-0.07177103443825784,-0.010747414414009447,-0.063081208895247,0.04322967776434619,-0.09055291694950066,6.570523262456966
240,2016-09-27,0.41739130434782606,6.660920320749324,-0.1208512593695587,-0.008352864206004734,6.6045163649429846,6.710646968344424,6.518917976258725,6.681562563350011,0.0,0.0,0.0,0.0,0.0,0.0,-0.05376511415495013,-0.06178711317927919,-0.04536621325196529,-0.011092283170413926,-0.06407694076146926,0.0448412576143263,-0.06485739732536405,6.59606292342396
241,2016-09-28,0.4191304347826087,6.660764462092179,-0.054582423500679066,0.05877569792674435,6.60465448002292,6.710146643905187,6.574774485845455,6.737340944953749,0.0,0.0,0.0,0.0,0.0,0.0,0.008821746460700736,0.0006252680137566998,0.017501702357156545,-0.011518651534652438,-0.06526704372197162,0.045364606186479535,-0.002696905073951702,6.658067557018227
242,2016-09-29,0.42086956521739133,6.660608603435034,-0.07367984686786155,0.04126201003464758,6.605415738771993,6.710172809122429,6.565033710003064,6.721917341079757,0.0,0.0,0.0,0.0,0.0,0.0,-0.005316020281733693,-0.014348843824524766,0.003638677133130609,-0.012030054624921526,-0.06622973371697774,0.045958059747358046,-0.01734607490665522,6.643262528528379
243,2016-09-30,0.4226086956521739,6.66045274477789,0.008352598792525713,0.11742776097938909,6.606032101459753,6.710801253655499,6.633772251154783,6.809921735130301,0.0,0.0,0.0,0.0,0.0,0.0,0.07211757569333525,0.06406464218379067,0.08003422296901783,-0.012628899081306627,-0.06620524734962825,0.04574614313757183,0.059488676612028626,6.719941421389919
244,2016-10-01,0.42434782608695654,6.660296886120746,0.017644170603882337,0.1309817343501468,6.605824792272283,6.710674541703813,6.648090706000779,6.811616303963878,0.0,0.0,0.0,0.0,0.0,0.0,0.08422988706958111,0.07582300828106882,0.09289783288257716,-0.013316267187886066,-0.06733267965635942,0.044751732176740944,0.07091361988169505,6.731210506002442
